ts,uid,src_ip_zeek,src_port_zeek,dest_ip_zeek,dest_port_zeek,proto,service,duration,orig_bytes,resp_bytes,conn_state,local_orig,local_resp,missed_bytes,history,orig_pkts,orig_ip_bytes,resp_pkts,resp_ip_bytes,community_id,datetime,label_technique,label_tactic,label_binary
"1,663,788,891.577",CU0fJO2yH3w0438fok,143.88.5.11,"44,184",143.88.5.12,"59,134",tcp,-,-,-,-,S0,false,false,0,S,1,44,0,0,1:nR5MaJmM1JM7CXMEHc/busJ2dHM=,"9/21/2022, 12:34:51 PM",T1587,Resource Development,1
"1,663,788,936.973",CgPWbx4EqbmC9aU7Fi,143.88.5.11,"44,184",143.88.5.12,"2,930",tcp,-,-,-,-,S0,false,false,0,S,1,44,0,0,1:+KrGTNfkmJ3OIwdQLIdWpkj5jME=,"9/21/2022, 12:35:36 PM",T1587,Resource Development,1
"1,663,787,667.02",CZ5BtC28vtSlFRuyD9,143.88.5.11,"54,413",143.88.5.12,"48,174",tcp,-,-,-,-,S0,false,false,0,S,1,44,0,0,1:R0r32qXv/xkg8SreagXMM/uyE/A=,"9/21/2022, 12:14:27 PM",T1587,Resource Development,1
"1,663,788,895.85",CPSh9J1MXfKS50eeRf,143.88.5.11,"44,184",143.88.5.12,"57,693",tcp,-,-,-,-,S0,false,false,0,S,1,44,0,0,1:vCxFUFWFF+S9K8CzZcJEP5CMwuo=,"9/21/2022, 12:34:55 PM",T1587,Resource Development,1
"1,663,788,887.274",CreUmxoMDEnMfXeT7,143.88.5.11,"44,184",143.88.5.12,"27,151",tcp,-,-,-,-,S0,false,false,0,S,1,44,0,0,1:ADN665Q4Vtlo5MEexaMVwmSFq2M=,"9/21/2022, 12:34:47 PM",T1587,Resource Development,1
"1,663,787,661.601",CBLECB4MU5rBeL3jWj,143.88.5.11,"54,413",143.88.5.12,"48,528",tcp,-,-,-,-,S0,false,false,0,S,1,44,0,0,1:+3GuDRIkJzb+YQ2dSzRvovAL/XI=,"9/21/2022, 12:14:21 PM",T1587,Resource Development,1
"1,663,787,671.555",CdimAk1IaCFu12Aowe,143.88.5.11,"54,412",143.88.5.12,"52,566",tcp,-,-,-,-,S0,false,false,0,S,1,44,0,0,1:gAGkI0vyw/lK5tDs9PVvQ6nb16A=,"9/21/2022, 12:14:31 PM",T1587,Resource Development,1
"1,663,788,908.439",Cdm5QV1435hYErCwji,143.88.5.11,"44,184",143.88.5.12,"3,631",tcp,-,-,-,-,S0,false,false,0,S,1,44,0,0,1:yGKOyWKbnJ/SgIL5fhK7KSeVAks=,"9/21/2022, 12:35:08 PM",T1587,Resource Development,1
"1,663,788,921.28",CVwFZ01N38iroUrHp9,143.88.5.11,"44,183",143.88.5.12,"18,165",tcp,-,-,-,-,S0,false,false,0,S,1,44,0,0,1:Mej6/fRdHTKXfWB88q2dl1CiKO8=,"9/21/2022, 12:35:21 PM",T1587,Resource Development,1
"1,663,788,913.291",CmVM442Zj5BryQO4Fc,143.88.5.11,"44,184",143.88.5.12,"8,940",tcp,-,-,-,-,S0,false,false,0,S,1,44,0,0,1:N32D32FDT0VS234Lss1a5yXQqKg=,"9/21/2022, 12:35:13 PM",T1587,Resource Development,1
"1,663,787,641.414",CKEFHY19jLJzPs6JC6,143.88.5.11,"54,412",143.88.5.12,"46,439",tcp,-,-,-,-,S0,false,false,0,S,1,44,0,0,1:RBaMbZUJRVPPzOlLjjDwIZ5lynU=,"9/21/2022, 12:14:01 PM",T1587,Resource Development,1
"1,663,787,629.608",ClGIef2zaeQVmTUTX5,143.88.5.11,"54,412",143.88.5.12,"5,621",tcp,-,-,-,-,S0,false,false,0,S,1,44,0,0,1:DpEGSWL4L9DzxF4XpcTtkalwS6g=,"9/21/2022, 12:13:49 PM",T1587,Resource Development,1
"1,663,788,907.787",CAaUjO3QrxIbCNzdkb,143.88.5.11,"44,183",143.88.5.12,"30,482",tcp,-,-,-,-,S0,false,false,0,S,1,44,0,0,1:TxlyNnUJ+tgrIEPRbUWvZ7rT7Xg=,"9/21/2022, 12:35:07 PM",T1587,Resource Development,1
"1,663,788,946.094",CsFino24INBkIGyolf,143.88.5.11,"44,183",143.88.5.12,"57,379",tcp,-,-,-,-,S0,false,false,0,S,1,44,0,0,1:lgQ0QIpwUpBCRNS4qQG2jdAi29A=,"9/21/2022, 12:35:46 PM",T1587,Resource Development,1
"1,663,788,917.853",C18yi33CYMQ27MDz99,143.88.5.11,"44,183",143.88.5.12,"20,622",tcp,-,-,-,-,S0,false,false,0,S,1,44,0,0,1:vEJgyBzsADnQw9YGx/N5Eso+r/o=,"9/21/2022, 12:35:17 PM",T1587,Resource Development,1
"1,663,788,941.671",CDuGQGRqNvIGKQv2f,143.88.5.11,"44,184",143.88.5.12,"63,467",tcp,-,-,-,-,S0,false,false,0,S,1,44,0,0,1:QB3aNkzABpnJ0aGMDk19QH27r3E=,"9/21/2022, 12:35:41 PM",T1587,Resource Development,1
"1,663,787,691.898",CfEbl8Eanp27ON9Bh,143.88.5.11,"54,413",143.88.5.12,"3,246",tcp,-,-,-,-,S0,false,false,0,S,1,44,0,0,1:JduATizxdNCboTUQygQA91YSfmM=,"9/21/2022, 12:14:51 PM",T1587,Resource Development,1
"1,663,787,689.727",CVLpJY1hC16M7Y56R9,143.88.5.11,"54,413",143.88.5.12,"31,090",tcp,-,-,-,-,S0,false,false,0,S,1,44,0,0,1:0r4rL5/ofLgmqb7cGN9CoYEbuSs=,"9/21/2022, 12:14:49 PM",T1587,Resource Development,1
"1,663,788,920.788",CG44Ge3GTlm2e17TQd,143.88.5.11,"44,183",143.88.5.12,"24,261",tcp,-,-,-,-,S0,false,false,0,S,1,44,0,0,1:wYRT26WEo6pMStIxHFeKoioCABc=,"9/21/2022, 12:35:20 PM",T1587,Resource Development,1
"1,663,787,656.84",CuLdNc3ZFrba9OfDS5,143.88.5.11,"54,413",143.88.5.12,"55,786",tcp,-,-,-,-,S0,false,false,0,S,1,44,0,0,1:WRvfkCa66FYSnRLR/nzHfxHTy1I=,"9/21/2022, 12:14:16 PM",T1587,Resource Development,1
"1,663,787,638.896",CnflKa4lVqZ72Zpooh,143.88.5.11,"54,413",143.88.5.12,"2,001",tcp,-,-,-,-,S0,false,false,0,S,1,44,0,0,1:lMq8uth/nABcfXolAf52829XLnk=,"9/21/2022, 12:13:58 PM",T1587,Resource Development,1
"1,663,787,625.872",CRfbaP1wqqCuGxXXWl,143.88.5.11,"54,413",143.88.5.12,"15,864",tcp,-,-,-,-,S0,false,false,0,S,1,44,0,0,1:99h3q2VO0yk/IdQWP8S3L3SNBaE=,"9/21/2022, 12:13:45 PM",T1587,Resource Development,1
"1,663,788,877.687",CdQQTx2tTqBQNiQXu6,143.88.5.11,"44,183",143.88.5.12,"57,887",tcp,-,-,-,-,S0,false,false,0,S,1,44,0,0,1:tC+kxDFDGeo4OexQfrRwFYJDuG8=,"9/21/2022, 12:34:37 PM",T1587,Resource Development,1
"1,663,787,644.817",CGZNDb2rEAXlKZU5O9,143.88.5.11,"54,412",143.88.5.12,"44,905",tcp,-,-,-,-,S0,false,false,0,S,1,44,0,0,1:LhxOjil1wvnr6w2Zix2X5XzlRtM=,"9/21/2022, 12:14:04 PM",T1587,Resource Development,1
"1,663,788,940.99",Ct3TLB33oMmMPgdgWc,143.88.5.11,"44,184",143.88.5.12,"15,894",tcp,-,-,-,-,S0,false,false,0,S,1,44,0,0,1:8vsFuP6ov0DfeR1FdTh0tQRuF9w=,"9/21/2022, 12:35:40 PM",T1587,Resource Development,1
"1,663,788,941.896",Cm86MD2XBlFbWaGu6,143.88.5.11,"44,184",143.88.5.12,"28,368",tcp,-,-,-,-,S0,false,false,0,S,1,44,0,0,1:kO4frWNFbLPKKner4ZxMDxfOduQ=,"9/21/2022, 12:35:41 PM",T1587,Resource Development,1
"1,663,788,926.71",CHOMSV10CapwsNLlV1,143.88.5.11,"44,184",143.88.5.12,"5,012",tcp,-,-,-,-,S0,false,false,0,S,1,44,0,0,1:W+TZWjbl5JAUhaydsddyJRErKqA=,"9/21/2022, 12:35:26 PM",T1587,Resource Development,1
"1,663,787,673.698",Cpj9Vv3gDWgDr1vLqj,143.88.5.11,"54,412",143.88.5.12,"35,300",tcp,-,-,-,-,S0,false,false,0,S,1,44,0,0,1:R9sOFmQntZ/ATbT6JcBrfI9PIZc=,"9/21/2022, 12:14:33 PM",T1587,Resource Development,1
"1,663,788,900.872",CIsoEf2VjqNGt9b6m7,143.88.5.11,"44,184",143.88.5.12,"35,470",tcp,-,-,-,-,S0,false,false,0,S,1,44,0,0,1:/szATSENeVnJVLVyLoreHOS6u78=,"9/21/2022, 12:35:00 PM",T1587,Resource Development,1
"1,663,788,924.326",C3wMzB3AiCi9iebtJl,143.88.5.11,"44,183",143.88.5.12,"29,242",tcp,-,-,-,-,S0,false,false,0,S,1,44,0,0,1:qtU6rk8hm5NwUnLZoDxIsdh/fKc=,"9/21/2022, 12:35:24 PM",T1587,Resource Development,1
"1,663,787,660.192",CZqrUJ4wRWj8Qhfl5,143.88.5.11,"54,413",143.88.5.12,"30,630",tcp,-,-,-,-,S0,false,false,0,S,1,44,0,0,1:mSm1iIySiJwn673/L6mEUwc8I7A=,"9/21/2022, 12:14:20 PM",T1587,Resource Development,1
"1,663,787,620.155",Cyau6w30Il8MHFvmVc,143.88.5.11,"54,412",143.88.5.12,"28,083",tcp,-,-,-,-,S0,false,false,0,S,1,44,0,0,1:Sz96fyznJc+EYKH4/X/qdJI85r8=,"9/21/2022, 12:13:40 PM",T1587,Resource Development,1
"1,663,788,945.408",CzTyMI2yXj9sEQIq1l,143.88.5.11,"44,183",143.88.5.12,"60,517",tcp,-,-,-,-,S0,false,false,0,S,1,44,0,0,1:WNcrbwrzEXuIJDQhgiybzI0VBx0=,"9/21/2022, 12:35:45 PM",T1587,Resource Development,1
"1,663,787,686.783",Cshyak3W7nVYud6Kqi,143.88.5.11,"54,412",143.88.5.12,"8,973",tcp,-,-,-,-,S0,false,false,0,S,1,44,0,0,1:9eXPVY/s0x+LYxyspWdXMb7Jehc=,"9/21/2022, 12:14:46 PM",T1587,Resource Development,1
"1,663,787,628.057",CPWjIN2ClQC6stK709,143.88.5.11,"54,412",143.88.5.12,"46,577",tcp,-,-,-,-,S0,false,false,0,S,1,44,0,0,1:/eVOg+lbsT1eIZqMESIX0HN2pVc=,"9/21/2022, 12:13:48 PM",T1587,Resource Development,1
"1,663,787,662.06",CrGpxi3qDyxceBq4Kf,143.88.5.11,"54,413",143.88.5.12,"39,652",tcp,-,-,-,-,S0,false,false,0,S,1,44,0,0,1:K+tIqCzv0g5qEeJwhqr7hEC2AYQ=,"9/21/2022, 12:14:22 PM",T1587,Resource Development,1
"1,663,787,644.619",CvXf4J164WhmcLbGd9,143.88.5.11,"54,412",143.88.5.12,"20,271",tcp,-,-,-,-,S0,false,false,0,S,1,44,0,0,1:rpT7cUFKIHWPp2yB8qoTHNFvvPo=,"9/21/2022, 12:14:04 PM",T1587,Resource Development,1
"1,663,787,693.499",C3LpPG3FxVBmLClWN9,143.88.5.11,"54,412",143.88.5.12,"5,838",tcp,-,-,-,-,S0,false,false,0,S,1,44,0,0,1:o3uWTdt7EqfmWwC2PIsR8962QoQ=,"9/21/2022, 12:14:53 PM",T1587,Resource Development,1
"1,663,787,625.377",CN8pKtOGhbB1SWwge,143.88.5.11,"54,413",143.88.5.12,"36,892",tcp,-,-,-,-,S0,false,false,0,S,1,44,0,0,1:P7BUoASXJ51kDGb7G46fY9q+NEc=,"9/21/2022, 12:13:45 PM",T1587,Resource Development,1
"1,663,787,665.325",CkqTWI3LJtAhzo3Qz5,143.88.5.11,"54,413",143.88.5.12,"39,449",tcp,-,-,-,-,S0,false,false,0,S,1,44,0,0,1:UKc+zLXJh9KJcR1NhBbWWZkO4PM=,"9/21/2022, 12:14:25 PM",T1587,Resource Development,1
"1,663,788,880.969",C9rdk54xkvUiFyWO3,143.88.5.11,"44,184",143.88.5.12,"5,733",tcp,-,-,-,-,S0,false,false,0,S,1,44,0,0,1:gYtEPoWgk9GzpLYWwbb1rpY4LAo=,"9/21/2022, 12:34:40 PM",T1587,Resource Development,1
"1,663,787,638.937",CIjly01k83ENblhBFe,143.88.5.11,"54,412",143.88.5.12,"33,718",tcp,-,-,-,-,S0,false,false,0,S,1,44,0,0,1:4QZ6wfj5ikW20aJQE1xRt5oc+g8=,"9/21/2022, 12:13:58 PM",T1587,Resource Development,1
"1,663,788,930.266",C8ZiaoY06GLpfCEM2,143.88.5.11,"44,183",143.88.5.12,"18,892",tcp,-,-,-,-,S0,false,false,0,S,1,44,0,0,1:MBTCCo742k+C77CydupIvfP4sBA=,"9/21/2022, 12:35:30 PM",T1587,Resource Development,1
"1,663,787,660.273",C2HUvT2jeI6MBdsoKk,143.88.5.11,"54,412",143.88.5.12,"29,373",tcp,-,-,-,-,S0,false,false,0,S,1,44,0,0,1:3L/6LNDQkOlaMoRUKCF9XdBmm3Y=,"9/21/2022, 12:14:20 PM",T1587,Resource Development,1
"1,663,788,907.752",CUQNg31OQl29eE7Ldb,143.88.5.11,"44,184",143.88.5.12,"65,342",tcp,-,-,-,-,S0,false,false,0,S,1,44,0,0,1:/Nrr2vWj/zC8KOAZg/hAXnvBxJc=,"9/21/2022, 12:35:07 PM",T1587,Resource Development,1
"1,663,788,947.23",CLIVXn1WEkR5kBESAg,143.88.5.11,"44,183",143.88.5.12,"30,913",tcp,-,-,-,-,S0,false,false,0,S,1,44,0,0,1:+NAPU4ueXLksC/F48IMaxuTGtbQ=,"9/21/2022, 12:35:47 PM",T1587,Resource Development,1
"1,663,787,664.446",CYi8fa4FtI71lTWjg,143.88.5.11,"54,413",143.88.5.12,"37,236",tcp,-,-,-,-,S0,false,false,0,S,1,44,0,0,1:MytfUDeElniPV4LPMrT5FiDx104=,"9/21/2022, 12:14:24 PM",T1587,Resource Development,1
"1,663,787,636.141",CwVgJA1lY2d1SCstdl,143.88.5.11,"54,413",143.88.5.12,"30,323",tcp,-,-,-,-,S0,false,false,0,S,1,44,0,0,1:DJnEl+/RH/4lvFMTpyEbfxUtdb4=,"9/21/2022, 12:13:56 PM",T1587,Resource Development,1
"1,663,788,917.199",C5eet74V708cp8ioib,143.88.5.11,"44,183",143.88.5.12,"47,777",tcp,-,-,-,-,S0,false,false,0,S,1,44,0,0,1:TTkfyZdklZ8M4hTNWbxD2oinZ/g=,"9/21/2022, 12:35:17 PM",T1587,Resource Development,1
"1,663,787,622.634",CENTrg2nZOHTPyUdBc,143.88.5.11,"54,413",143.88.5.12,"32,257",tcp,-,-,-,-,S0,false,false,0,S,1,44,0,0,1:SfHZo4Aeu5pA2dzdsyH5S/m1cxw=,"9/21/2022, 12:13:42 PM",T1587,Resource Development,1
"1,663,788,936.401",CCJ8CH2ZwudtmwB0fb,143.88.5.11,"44,183",143.88.5.12,"51,016",tcp,-,-,-,-,S0,false,false,0,S,1,44,0,0,1:+ssg0sUYETCYZmp6OCqAtuFG65M=,"9/21/2022, 12:35:36 PM",T1587,Resource Development,1
"1,663,787,685.06",C6bFitMEhdPlhvg,143.88.5.11,"54,413",143.88.5.12,"62,053",tcp,-,-,-,-,S0,false,false,0,S,1,44,0,0,1:ISxtxh2CLX+l3C9rkfCQwcS2TZQ=,"9/21/2022, 12:14:45 PM",T1587,Resource Development,1
"1,663,787,675.497",C1tHpmmWpd0WCB2yi,143.88.5.11,"54,412",143.88.5.12,"61,608",tcp,-,-,-,-,S0,false,false,0,S,1,44,0,0,1:4+O81OrF6b38BlkItjjtlEkNbyY=,"9/21/2022, 12:14:35 PM",T1587,Resource Development,1
"1,663,788,927.644",C0uFVkYCNhK3OW32e,143.88.5.11,"44,183",143.88.5.12,"60,257",tcp,-,-,-,-,S0,false,false,0,S,1,44,0,0,1:3KqTnjBjUo/gP7B7A3r/7wsMWWE=,"9/21/2022, 12:35:27 PM",T1587,Resource Development,1
"1,663,788,931.983",Cnms1PlQNlH4J11zd,143.88.5.11,"44,183",143.88.5.12,"46,503",tcp,-,-,-,-,S0,false,false,0,S,1,44,0,0,1:lahgKkuOiUBTSHLTuUL9rbz7rJw=,"9/21/2022, 12:35:31 PM",T1587,Resource Development,1
"1,663,788,909.071",Ch23kd4GnXf2UAqcT9,143.88.5.11,"44,184",143.88.5.12,"11,159",tcp,-,-,-,-,S0,false,false,0,S,1,44,0,0,1:Qfb3ma6BPyns4J5frWrGzganNDo=,"9/21/2022, 12:35:09 PM",T1587,Resource Development,1
"1,663,787,664.528",CQkd451uaUWoK70pIk,143.88.5.11,"54,412",143.88.5.12,"56,346",tcp,-,-,-,-,S0,false,false,0,S,1,44,0,0,1:0ZF+P2pHSXUx/142PBw782VKDDw=,"9/21/2022, 12:14:24 PM",T1587,Resource Development,1
"1,663,788,916.783",CEV2Fh4hj2S1d14Z88,143.88.5.11,"44,184",143.88.5.12,"40,060",tcp,-,-,-,-,S0,false,false,0,S,1,44,0,0,1:paD0PAjDYdKX1zxsitnao4bAV6s=,"9/21/2022, 12:35:16 PM",T1587,Resource Development,1
"1,663,787,679.466",C3w6Wf3gzGRVC54cvi,143.88.5.11,"54,413",143.88.5.12,"23,450",tcp,-,-,-,-,S0,false,false,0,S,1,44,0,0,1:zkZTD9lHkbqYXLCC5iYP6THU56g=,"9/21/2022, 12:14:39 PM",T1587,Resource Development,1
"1,663,787,642.084",CNCALMC4HJc8wlaC4,143.88.5.11,"54,412",143.88.5.12,"19,598",tcp,-,-,-,-,S0,false,false,0,S,1,44,0,0,1:e5Kujs8XXhFxjiQWBSoWg7/bQis=,"9/21/2022, 12:14:02 PM",T1587,Resource Development,1
"1,663,788,920.301",CoiZ8y1MjeqMLjscD3,143.88.5.11,"44,184",143.88.5.12,"52,192",tcp,-,-,-,-,S0,false,false,0,S,1,44,0,0,1:4aXhpmx9sIHHJWLJ2cQ7rJ0wGiM=,"9/21/2022, 12:35:20 PM",T1587,Resource Development,1
"1,663,788,936.464",CpVPTj167pyWBoLutg,143.88.5.11,"44,184",143.88.5.12,"54,873",tcp,-,-,-,-,S0,false,false,0,S,1,44,0,0,1:EfTZKKD8qIKokTadGPiqkrPUGLQ=,"9/21/2022, 12:35:36 PM",T1587,Resource Development,1
"1,663,788,887.453",CWspLe1GK9DNdfXO6b,143.88.5.11,"44,183",143.88.5.12,"30,175",tcp,-,-,-,-,S0,false,false,0,S,1,44,0,0,1:cIGqKGqfdD78Dh/XcwHFAfbb3jg=,"9/21/2022, 12:34:47 PM",T1587,Resource Development,1
"1,663,788,933.193",CetPG23GHj3zpftaIb,143.88.5.11,"44,184",143.88.5.12,"54,969",tcp,-,-,-,-,S0,false,false,0,S,1,44,0,0,1:Q5djg6FM0ITWbWJ9c+hE55KrsU8=,"9/21/2022, 12:35:33 PM",T1587,Resource Development,1
"1,663,788,877.541",CnrddP2pTz0Ilwylha,143.88.5.11,"44,183",143.88.5.12,"52,760",tcp,-,-,-,-,S0,false,false,0,S,1,44,0,0,1:c1jlN5ASvJvWvO8te50g05oONW8=,"9/21/2022, 12:34:37 PM",T1587,Resource Development,1
"1,663,787,651.456",CpQcx715aLPga23Rnf,143.88.5.11,"54,413",143.88.5.12,"19,667",tcp,-,-,-,-,S0,false,false,0,S,1,44,0,0,1:vEcYewkOOykPc0MwOe/bS3kpy24=,"9/21/2022, 12:14:11 PM",T1587,Resource Development,1
"1,663,788,881.428",C5j1nZ1aeGAvcT9A8c,143.88.5.11,"44,183",143.88.5.12,"44,852",tcp,-,-,-,-,S0,false,false,0,S,1,44,0,0,1:H/xw5qDDdLce4R/zMff4yQc5XAs=,"9/21/2022, 12:34:41 PM",T1587,Resource Development,1
"1,663,787,663.215",CeA5kt4NAQqxP285N7,143.88.5.11,"54,412",143.88.5.12,"33,897",tcp,-,-,-,-,S0,false,false,0,S,1,44,0,0,1:9bUTAcfXqPDPSf6MJi/u+O5kFz0=,"9/21/2022, 12:14:23 PM",T1587,Resource Development,1
"1,663,788,940.78",CGGqfp2thPxXXCoEya,143.88.5.11,"44,183",143.88.5.12,"8,377",tcp,-,-,-,-,S0,false,false,0,S,1,44,0,0,1:zziEIg866+9kVdXnVq2UDctvJVs=,"9/21/2022, 12:35:40 PM",T1587,Resource Development,1
"1,663,787,615.221",C8TG0R1fHQ2pyzq1il,143.88.5.11,"54,413",143.88.5.12,"8,367",tcp,-,-,-,-,S0,false,false,0,S,1,44,0,0,1:WxmvD8k7dsDZVWlZN1HySqPp8Iw=,"9/21/2022, 12:13:35 PM",T1587,Resource Development,1
"1,663,788,947.936",CSpCAR1KRbOf9wrMh8,143.88.5.11,"44,184",143.88.5.12,992,tcp,-,-,-,-,S0,false,false,0,S,1,44,0,0,1:WlQFjPriEoWEwniBJN9Yrxz/ilI=,"9/21/2022, 12:35:47 PM",T1587,Resource Development,1
"1,663,788,916.324",CTFHEj4RlBaHQrGLBj,143.88.5.11,"44,184",143.88.5.12,"38,387",tcp,-,-,-,-,S0,false,false,0,S,1,44,0,0,1:wlzMBj4qfTzYLUVvI4F+MhwplOc=,"9/21/2022, 12:35:16 PM",T1587,Resource Development,1
"1,663,787,616.204",CZP1A9UtKH1JlEbu2,143.88.5.11,"54,412",143.88.5.12,"8,113",tcp,-,-,-,-,S0,false,false,0,S,1,44,0,0,1:0RijdddAJu4ZCjv1jA1bgnnG+30=,"9/21/2022, 12:13:36 PM",T1587,Resource Development,1
"1,663,788,900.07",CUWN8F4mNabqY0DpT3,143.88.5.11,"44,184",143.88.5.12,"16,456",tcp,-,-,-,-,S0,false,false,0,S,1,44,0,0,1:SzyShT3V00wAQGdwunGl+MTCMkQ=,"9/21/2022, 12:35:00 PM",T1587,Resource Development,1
"1,663,787,638.82",CoZ4pK1ie7k2WC9ZG4,143.88.5.11,"54,412",143.88.5.12,"37,234",tcp,-,-,-,-,S0,false,false,0,S,1,44,0,0,1:HpYlLEe/x8+CBEhHQekZjXcM3FI=,"9/21/2022, 12:13:58 PM",T1587,Resource Development,1
"1,663,788,906.103",C969Q54tykL31mmDAk,143.88.5.11,"44,183",143.88.5.12,"54,003",tcp,-,-,-,-,S0,false,false,0,S,1,44,0,0,1:ql4r9x+Huh9LsyTeyh7DG+UqR4Y=,"9/21/2022, 12:35:06 PM",T1587,Resource Development,1
"1,663,788,911.877",C6Nqq6CnVGAOjclG9,143.88.5.11,"44,184",143.88.5.12,"14,143",tcp,-,-,-,-,S0,false,false,0,S,1,44,0,0,1:x19uulHd3TqFRDkdbQEU10AgtS0=,"9/21/2022, 12:35:11 PM",T1587,Resource Development,1
"1,663,787,660.862",CuUf9e2sygEBdhIgke,143.88.5.11,"54,412",143.88.5.12,"44,695",tcp,-,-,-,-,S0,false,false,0,S,1,44,0,0,1:1om8OLnagYOQLdORKQzOlH79TK4=,"9/21/2022, 12:14:20 PM",T1587,Resource Development,1
